year,round,raceName,circuitId,date
2023,11,Hungarian Grand Prix,hungaroring,2023-07-23
2023,12,Belgian Grand Prix,spa,2023-07-30
2023,13,Dutch Grand Prix,zandvoort,2023-08-27
2023,14,Italian Grand Prix,monza,2023-09-03
2023,15,Singapore Grand Prix,marina_bay,2023-09-17
2023,16,Japanese Grand Prix,suzuka,2023-09-24
2023,17,Qatar Grand Prix,losail,2023-10-08
2023,18,United States Grand Prix,americas,2023-10-22
2023,19,Mexico City Grand Prix,rodriguez,2023-10-29
2023,20,São Paulo Grand Prix,interlagos,2023-11-05
2023,21,Las Vegas Grand Prix,vegas,2023-11-19
2023,22,Abu Dhabi Grand Prix,yas_marina,2023-11-26
2024,1,Bahrain Grand Prix,bahrain,2024-03-02
2024,2,Saudi Arabian Grand Prix,jeddah,2024-03-09
2024,3,Australian Grand Prix,albert_park,2024-03-24
2024,4,Japanese Grand Prix,suzuka,2024-04-07
2024,5,Chinese Grand Prix,shanghai,2024-04-21
2024,6,Miami Grand Prix,miami,2024-05-05
2024,7,Emilia Romagna Grand Prix,imola,2024-05-19
2024,8,Monaco Grand Prix,monaco,2024-05-26
2024,9,Canadian Grand Prix,villeneuve,2024-06-09
2024,10,Spanish Grand Prix,catalunya,2024-06-23
2024,11,Austrian Grand Prix,red_bull_ring,2024-06-30
2024,12,British Grand Prix,silverstone,2024-07-07
2024,13,Hungarian Grand Prix,hungaroring,2024-07-21
2024,14,Belgian Grand Prix,spa,2024-07-28
2024,15,Dutch Grand Prix,zandvoort,2024-08-25
2024,16,Italian Grand Prix,monza,2024-09-01
2024,17,Azerbaijan Grand Prix,baku,2024-09-15
2024,18,Singapore Grand Prix,marina_bay,2024-09-22
2024,19,United States Grand Prix,americas,2024-10-20
2024,20,Mexico City Grand Prix,rodriguez,2024-10-27
2024,21,São Paulo Grand Prix,interlagos,2024-11-03
2024,22,Las Vegas Grand Prix,vegas,2024-11-23
2024,23,Qatar Grand Prix,losail,2024-12-01
2024,24,Abu Dhabi Grand Prix,yas_marina,2024-12-08
2025,1,Australian Grand Prix,albert_park,2025-03-16
2025,2,Chinese Grand Prix,shanghai,2025-03-23
2025,3,Japanese Grand Prix,suzuka,2025-04-06
2025,4,Bahrain Grand Prix,bahrain,2025-04-13
2025,5,Saudi Arabian Grand Prix,jeddah,2025-04-20
2025,6,Miami Grand Prix,miami,2025-05-04
2025,7,Emilia Romagna Grand Prix,imola,2025-05-18
2025,8,Monaco Grand Prix,monaco,2025-05-25
2025,9,Spanish Grand Prix,catalunya,2025-06-01
2025,10,Canadian Grand Prix,villeneuve,2025-06-15
2025,11,Austrian Grand Prix,red_bull_ring,2025-06-29
2025,12,British Grand Prix,silverstone,2025-07-06
2025,13,Belgian Grand Prix,spa,2025-07-27
2025,14,Hungarian Grand Prix,hungaroring,2025-08-03
2025,15,Dutch Grand Prix,zandvoort,2025-08-31
2025,16,Italian Grand Prix,monza,2025-09-07
2025,17,Azerbaijan Grand Prix,baku,2025-09-21
2025,18,Singapore Grand Prix,marina_bay,2025-10-05
2025,19,United States Grand Prix,americas,2025-10-19
2025,20,Mexico City Grand Prix,rodriguez,2025-10-26
2025,21,São Paulo Grand Prix,interlagos,2025-11-09
2025,22,Las Vegas Grand Prix,vegas,2025-11-23
2025,23,Qatar Grand Prix,losail,2025-11-30
2025,24,Abu Dhabi Grand Prix,yas_marina,2025-12-07
