DriverName,Team,grid,position,points,status,year,round
Ocon,Alpine F1 Team,15,15,0,Lapped,2024,15
Sargeant,Williams,18,16,0,Lapped,2024,15
Tsunoda,RB F1 Team,11,17,0,Lapped,2024,15
Magnussen,Haas F1 Team,20,18,0,Lapped,2024,15
Bottas,Sauber,16,19,0,Lapped,2024,15
Zhou,Sauber,17,20,0,Lapped,2024,15
Leclerc,Ferrari,4,1,25,Finished,2024,16
Piastri,McLaren,2,2,18,Finished,2024,16
Norris,McLaren,1,3,16,Finished,2024,16
Sainz,Ferrari,5,4,12,Finished,2024,16
Hamilton,Mercedes,6,5,10,Finished,2024,16
Verstappen,Red Bull,7,6,8,Finished,2024,16
Russell,Mercedes,3,7,6,Finished,2024,16
Pérez,Red Bull,8,8,4,Finished,2024,16
Albon,Williams,9,9,2,Finished,2024,16
Magnussen,Haas F1 Team,13,10,1,Finished,2024,16
Alonso,Aston Martin,11,11,0,Finished,2024,16
Colapinto,Williams,18,12,0,Finished,2024,16
Ricciardo,RB F1 Team,12,13,0,Finished,2024,16
Ocon,Alpine F1 Team,15,14,0,Lapped,2024,16
Gasly,Alpine F1 Team,14,15,0,Lapped,2024,16
Bottas,Sauber,19,16,0,Lapped,2024,16
Hülkenberg,Haas F1 Team,10,17,0,Lapped,2024,16
Zhou,Sauber,20,18,0,Lapped,2024,16
Stroll,Aston Martin,17,19,0,Lapped,2024,16
Tsunoda,RB F1 Team,16,20,0,Retired,2024,16
Piastri,McLaren,2,1,25,Finished,2024,17
Leclerc,Ferrari,1,2,18,Finished,2024,17
Russell,Mercedes,5,3,15,Finished,2024,17
Norris,McLaren,15,4,13,Finished,2024,17
Verstappen,Red Bull,6,5,10,Finished,2024,17
Alonso,Aston Martin,7,6,8,Finished,2024,17
Albon,Williams,9,7,6,Finished,2024,17
Colapinto,Williams,8,8,4,Finished,2024,17
Hamilton,Mercedes,19,9,2,Finished,2024,17
Bearman,Haas F1 Team,10,10,1,Finished,2024,17
Hülkenberg,Haas F1 Team,12,11,0,Finished,2024,17
Gasly,Alpine F1 Team,18,12,0,Finished,2024,17
Ricciardo,RB F1 Team,14,13,0,Finished,2024,17
Zhou,Sauber,17,14,0,Finished,2024,17
Ocon,Alpine F1 Team,20,15,0,Lapped,2024,17
Bottas,Sauber,16,16,0,Lapped,2024,17
Pérez,Red Bull,4,17,0,Retired,2024,17
Sainz,Ferrari,3,18,0,Retired,2024,17
Stroll,Aston Martin,13,19,0,Retired,2024,17
Tsunoda,RB F1 Team,11,20,0,Retired,2024,17
Norris,McLaren,1,1,25,Finished,2024,18
Verstappen,Red Bull,2,2,18,Finished,2024,18
Piastri,McLaren,5,3,15,Finished,2024,18
Russell,Mercedes,4,4,12,Finished,2024,18
Leclerc,Ferrari,9,5,10,Finished,2024,18
Hamilton,Mercedes,3,6,8,Finished,2024,18
Sainz,Ferrari,10,7,6,Finished,2024,18
Alonso,Aston Martin,7,8,4,Lapped,2024,18
Hülkenberg,Haas F1 Team,6,9,2,Lapped,2024,18
Pérez,Red Bull,13,10,1,Lapped,2024,18
Colapinto,Williams,12,11,0,Lapped,2024,18
Tsunoda,RB F1 Team,8,12,0,Lapped,2024,18
Ocon,Alpine F1 Team,15,13,0,Lapped,2024,18
Stroll,Aston Martin,17,14,0,Lapped,2024,18
Zhou,Sauber,20,15,0,Lapped,2024,18
Bottas,Sauber,19,16,0,Lapped,2024,18
Gasly,Alpine F1 Team,18,17,0,Lapped,2024,18
Ricciardo,RB F1 Team,16,18,0,Lapped,2024,18
Magnussen,Haas F1 Team,14,19,0,Retired,2024,18
Albon,Williams,11,20,0,Retired,2024,18
Leclerc,Ferrari,4,1,25,Finished,2024,19
Sainz,Ferrari,3,2,18,Finished,2024,19
Verstappen,Red Bull,2,3,15,Finished,2024,19
Norris,McLaren,1,4,12,Finished,2024,19
Piastri,McLaren,5,5,10,Finished,2024,19
Russell,Mercedes,20,6,8,Finished,2024,19
Pérez,Red Bull,9,7,6,Finished,2024,19
Hülkenberg,Haas F1 Team,11,8,4,Finished,2024,19
Lawson,RB F1 Team,19,9,2,Finished,2024,19
Colapinto,Williams,15,10,1,Finished,2024,19
Magnussen,Haas F1 Team,8,11,0,Finished,2024,19
Gasly,Alpine F1 Team,6,12,0,Finished,2024,19
Alonso,Aston Martin,7,13,0,Lapped,2024,19
Tsunoda,RB F1 Team,10,14,0,Lapped,2024,19
Stroll,Aston Martin,13,15,0,Lapped,2024,19
Albon,Williams,14,16,0,Lapped,2024,19
Bottas,Sauber,16,17,0,Lapped,2024,19
Ocon,Alpine F1 Team,12,18,0,Lapped,2024,19
Zhou,Sauber,18,19,0,Lapped,2024,19
Hamilton,Mercedes,17,20,0,Retired,2024,19
Sainz,Ferrari,1,1,25,Finished,2024,20
Norris,McLaren,3,2,18,Finished,2024,20
Leclerc,Ferrari,4,3,16,Finished,2024,20
Hamilton,Mercedes,6,4,12,Finished,2024,20
Russell,Mercedes,5,5,10,Finished,2024,20
Verstappen,Red Bull,2,6,8,Finished,2024,20
Magnussen,Haas F1 Team,7,7,6,Finished,2024,20
Piastri,McLaren,17,8,4,Finished,2024,20
Hülkenberg,Haas F1 Team,10,9,2,Lapped,2024,20
Gasly,Alpine F1 Team,8,10,1,Lapped,2024,20
Stroll,Aston Martin,14,11,0,Lapped,2024,20
Colapinto,Williams,16,12,0,Lapped,2024,20
Ocon,Alpine F1 Team,0,13,0,Lapped,2024,20
Bottas,Sauber,15,14,0,Lapped,2024,20
Zhou,Sauber,19,15,0,Lapped,2024,20
Lawson,RB F1 Team,12,16,0,Lapped,2024,20
Pérez,Red Bull,18,17,0,Lapped,2024,20
Alonso,Aston Martin,13,18,0,Retired,2024,20
Albon,Williams,9,19,0,Retired,2024,20
Tsunoda,RB F1 Team,11,20,0,Retired,2024,20
Verstappen,Red Bull,17,1,26,Finished,2024,21
Ocon,Alpine F1 Team,4,2,18,Finished,2024,21
Gasly,Alpine F1 Team,13,3,15,Finished,2024,21
Russell,Mercedes,2,4,12,Finished,2024,21
Leclerc,Ferrari,6,5,10,Finished,2024,21
Norris,McLaren,1,6,8,Finished,2024,21
Tsunoda,RB F1 Team,3,7,6,Finished,2024,21
Piastri,McLaren,8,8,4,Finished,2024,21
Lawson,RB F1 Team,5,9,2,Finished,2024,21
Hamilton,Mercedes,14,10,1,Finished,2024,21
Pérez,Red Bull,12,11,0,Finished,2024,21
Bearman,Haas F1 Team,15,12,0,Finished,2024,21
Bottas,Sauber,11,13,0,Finished,2024,21
Alonso,Aston Martin,9,14,0,Finished,2024,21
Zhou,Sauber,19,15,0,Finished,2024,21
Sainz,Ferrari,20,16,0,Retired,2024,21
Colapinto,Williams,16,17,0,Retired,2024,21
Albon,Williams,7,18,0,Did not start,2024,21
Stroll,Aston Martin,10,19,0,Did not start,2024,21
Hülkenberg,Haas F1 Team,18,20,0,Disqualified,2024,21
Russell,Mercedes,1,1,25,Finished,2024,22
Hamilton,Mercedes,10,2,18,Finished,2024,22
Sainz,Ferrari,2,3,15,Finished,2024,22
Leclerc,Ferrari,4,4,12,Finished,2024,22
Verstappen,Red Bull,5,5,10,Finished,2024,22
Norris,McLaren,6,6,9,Finished,2024,22
Piastri,McLaren,8,7,6,Finished,2024,22
Hülkenberg,Haas F1 Team,9,8,4,Finished,2024,22
Tsunoda,RB F1 Team,7,9,2,Finished,2024,22
Pérez,Red Bull,15,10,1,Finished,2024,22
Alonso,Aston Martin,16,11,0,Finished,2024,22
Magnussen,Haas F1 Team,12,12,0,Finished,2024,22
Zhou,Sauber,13,13,0,Finished,2024,22
Colapinto,Williams,20,14,0,Finished,2024,22
Stroll,Aston Martin,18,15,0,Finished,2024,22
Lawson,RB F1 Team,14,16,0,Finished,2024,22
Ocon,Alpine F1 Team,11,17,0,Lapped,2024,22
Bottas,Sauber,19,18,0,Lapped,2024,22
Albon,Williams,17,19,0,Retired,2024,22
Gasly,Alpine F1 Team,3,20,0,Retired,2024,22
Verstappen,Red Bull,2,1,25,Finished,2024,23
Leclerc,Ferrari,5,2,18,Finished,2024,23
Piastri,McLaren,4,3,15,Finished,2024,23
Russell,Mercedes,1,4,12,Finished,2024,23
Gasly,Alpine F1 Team,11,5,10,Finished,2024,23
Sainz,Ferrari,7,6,8,Finished,2024,23
Alonso,Aston Martin,8,7,6,Finished,2024,23
Zhou,Sauber,12,8,4,Finished,2024,23
Magnussen,Haas F1 Team,10,9,2,Finished,2024,23
Norris,McLaren,3,10,2,Finished,2024,23
Bottas,Sauber,13,11,0,Finished,2024,23
Hamilton,Mercedes,6,12,0,Finished,2024,23
Tsunoda,RB F1 Team,14,13,0,Finished,2024,23
Lawson,RB F1 Team,17,14,0,Finished,2024,23
Albon,Williams,16,15,0,Lapped,2024,23
Hülkenberg,Haas F1 Team,18,16,0,Retired,2024,23
Pérez,Red Bull,9,17,0,Retired,2024,23
Stroll,Aston Martin,15,18,0,Retired,2024,23
Colapinto,Williams,19,19,0,Retired,2024,23
Ocon,Alpine F1 Team,20,20,0,Retired,2024,23
Norris,McLaren,1,1,25,Finished,2024,24
Sainz,Ferrari,3,2,18,Finished,2024,24
Leclerc,Ferrari,19,3,15,Finished,2024,24
Hamilton,Mercedes,16,4,12,Finished,2024,24
Russell,Mercedes,6,5,10,Finished,2024,24
Verstappen,Red Bull,4,6,8,Finished,2024,24
Gasly,Alpine F1 Team,5,7,6,Finished,2024,24
Hülkenberg,Haas F1 Team,7,8,4,Finished,2024,24
Alonso,Aston Martin,8,9,2,Finished,2024,24
Piastri,McLaren,2,10,1,Finished,2024,24
Albon,Williams,18,11,0,Lapped,2024,24
Tsunoda,RB F1 Team,11,12,0,Lapped,2024,24
Zhou,Sauber,15,13,0,Lapped,2024,24
Stroll,Aston Martin,13,14,0,Lapped,2024,24
Doohan,Alpine F1 Team,17,15,0,Lapped,2024,24
Magnussen,Haas F1 Team,14,16,0,Lapped,2024,24
Lawson,RB F1 Team,12,17,0,Retired,2024,24
Bottas,Sauber,9,18,0,Retired,2024,24
Colapinto,Williams,20,19,0,Retired,2024,24
Pérez,Red Bull,10,20,0,Retired,2024,24
Norris,McLaren,1,1,25,Finished,2025,1
Verstappen,Red Bull,3,2,18,Finished,2025,1
Russell,Mercedes,4,3,15,Finished,2025,1
Antonelli,Mercedes,16,4,12,Finished,2025,1
Albon,Williams,6,5,10,Finished,2025,1
Stroll,Aston Martin,13,6,8,Finished,2025,1
Hülkenberg,Sauber,17,7,6,Finished,2025,1
Leclerc,Ferrari,7,8,4,Finished,2025,1
Piastri,McLaren,2,9,2,Finished,2025,1
Hamilton,Ferrari,8,10,1,Finished,2025,1
Gasly,Alpine F1 Team,9,11,0,Finished,2025,1
Tsunoda,RB F1 Team,5,12,0,Finished,2025,1
Ocon,Haas F1 Team,19,13,0,Finished,2025,1
Bearman,Haas F1 Team,20,14,0,Finished,2025,1
Lawson,Red Bull,18,15,0,Retired,2025,1
Bortoleto,Sauber,15,16,0,Retired,2025,1
Alonso,Aston Martin,12,17,0,Retired,2025,1
Sainz,Williams,10,18,0,Retired,2025,1
Doohan,Alpine F1 Team,14,19,0,Retired,2025,1
Hadjar,RB F1 Team,11,20,0,Retired,2025,1
Piastri,McLaren,1,1,25,Finished,2025,2
Norris,McLaren,3,2,18,Finished,2025,2
Russell,Mercedes,2,3,15,Finished,2025,2
Verstappen,Red Bull,4,4,12,Finished,2025,2
Ocon,Haas F1 Team,11,5,10,Finished,2025,2
Antonelli,Mercedes,8,6,8,Finished,2025,2
Albon,Williams,10,7,6,Finished,2025,2
Bearman,Haas F1 Team,17,8,4,Finished,2025,2
Stroll,Aston Martin,14,9,2,Finished,2025,2
Sainz,Williams,15,10,1,Finished,2025,2
Hadjar,RB F1 Team,7,11,0,Finished,2025,2
Lawson,Red Bull,20,12,0,Finished,2025,2
Doohan,Alpine F1 Team,18,13,0,Finished,2025,2
Bortoleto,Sauber,19,14,0,Lapped,2025,2
Hülkenberg,Sauber,12,15,0,Lapped,2025,2
Tsunoda,RB F1 Team,9,16,0,Lapped,2025,2
Alonso,Aston Martin,13,17,0,Retired,2025,2
Leclerc,Ferrari,6,18,0,Disqualified,2025,2
Hamilton,Ferrari,5,19,0,Disqualified,2025,2
Gasly,Alpine F1 Team,16,20,0,Disqualified,2025,2
Verstappen,Red Bull,1,1,25,Finished,2025,3
Norris,McLaren,2,2,18,Finished,2025,3
Piastri,McLaren,3,3,15,Finished,2025,3
Leclerc,Ferrari,4,4,12,Finished,2025,3
Russell,Mercedes,5,5,10,Finished,2025,3
Antonelli,Mercedes,6,6,8,Finished,2025,3
Hamilton,Ferrari,8,7,6,Finished,2025,3
Hadjar,RB F1 Team,7,8,4,Finished,2025,3
Albon,Williams,9,9,2,Finished,2025,3
Bearman,Haas F1 Team,10,10,1,Finished,2025,3
Alonso,Aston Martin,12,11,0,Finished,2025,3
Tsunoda,Red Bull,14,12,0,Finished,2025,3
Gasly,Alpine F1 Team,11,13,0,Finished,2025,3
Sainz,Williams,15,14,0,Finished,2025,3
Doohan,Alpine F1 Team,19,15,0,Finished,2025,3
Hülkenberg,Sauber,16,16,0,Finished,2025,3
Lawson,RB F1 Team,13,17,0,Finished,2025,3
Ocon,Haas F1 Team,18,18,0,Finished,2025,3
Bortoleto,Sauber,17,19,0,Finished,2025,3
Stroll,Aston Martin,20,20,0,Lapped,2025,3
Piastri,McLaren,1,1,25,Finished,2025,4
Russell,Mercedes,3,2,18,Finished,2025,4
Norris,McLaren,6,3,15,Finished,2025,4
Leclerc,Ferrari,2,4,12,Finished,2025,4
Hamilton,Ferrari,9,5,10,Finished,2025,4
Verstappen,Red Bull,7,6,8,Finished,2025,4
Gasly,Alpine F1 Team,4,7,6,Finished,2025,4
Ocon,Haas F1 Team,14,8,4,Finished,2025,4
Tsunoda,Red Bull,10,9,2,Finished,2025,4
Bearman,Haas F1 Team,20,10,1,Finished,2025,4
Antonelli,Mercedes,5,11,0,Finished,2025,4
Albon,Williams,15,12,0,Finished,2025,4
Hadjar,RB F1 Team,12,13,0,Finished,2025,4
Doohan,Alpine F1 Team,11,14,0,Finished,2025,4
Alonso,Aston Martin,13,15,0,Finished,2025,4
Lawson,RB F1 Team,17,16,0,Finished,2025,4
Stroll,Aston Martin,19,17,0,Finished,2025,4
Bortoleto,Sauber,18,18,0,Finished,2025,4
Sainz,Williams,8,19,0,Retired,2025,4
Hülkenberg,Sauber,16,20,0,Disqualified,2025,4
Piastri,McLaren,2,1,25,Finished,2025,5
Verstappen,Red Bull,1,2,18,Finished,2025,5
Leclerc,Ferrari,4,3,15,Finished,2025,5
Norris,McLaren,10,4,12,Finished,2025,5
Russell,Mercedes,3,5,10,Finished,2025,5
Antonelli,Mercedes,5,6,8,Finished,2025,5
Hamilton,Ferrari,7,7,6,Finished,2025,5
Sainz,Williams,6,8,4,Finished,2025,5
Albon,Williams,11,9,2,Finished,2025,5
Hadjar,RB F1 Team,14,10,1,Finished,2025,5
Alonso,Aston Martin,13,11,0,Finished,2025,5
Lawson,RB F1 Team,12,12,0,Finished,2025,5
Bearman,Haas F1 Team,15,13,0,Finished,2025,5
Ocon,Haas F1 Team,19,14,0,Finished,2025,5
Hülkenberg,Sauber,18,15,0,Lapped,2025,5
Stroll,Aston Martin,16,16,0,Lapped,2025,5
Doohan,Alpine F1 Team,17,17,0,Lapped,2025,5
Bortoleto,Sauber,20,18,0,Lapped,2025,5
Tsunoda,Red Bull,8,19,0,Retired,2025,5
Gasly,Alpine F1 Team,9,20,0,Retired,2025,5
Piastri,McLaren,4,1,25,Finished,2025,6
Norris,McLaren,2,2,18,Finished,2025,6
Russell,Mercedes,5,3,15,Finished,2025,6
Verstappen,Red Bull,1,4,12,Finished,2025,6
Albon,Williams,7,5,10,Finished,2025,6
Antonelli,Mercedes,3,6,8,Finished,2025,6
Leclerc,Ferrari,8,7,6,Finished,2025,6
Hamilton,Ferrari,12,8,4,Finished,2025,6
Sainz,Williams,6,9,2,Finished,2025,6
Tsunoda,Red Bull,10,10,1,Finished,2025,6
Hadjar,RB F1 Team,11,11,0,Finished,2025,6
Ocon,Haas F1 Team,9,12,0,Finished,2025,6
Gasly,Alpine F1 Team,20,13,0,Finished,2025,6
Hülkenberg,Sauber,16,14,0,Lapped,2025,6
Alonso,Aston Martin,17,15,0,Lapped,2025,6
Stroll,Aston Martin,18,16,0,Lapped,2025,6
Lawson,RB F1 Team,15,17,0,Retired,2025,6
Bortoleto,Sauber,13,18,0,Retired,2025,6
Bearman,Haas F1 Team,19,19,0,Retired,2025,6
Doohan,Alpine F1 Team,14,20,0,Retired,2025,6
Verstappen,Red Bull,2,1,25,Finished,2025,7
Norris,McLaren,4,2,18,Finished,2025,7
Piastri,McLaren,1,3,15,Finished,2025,7
Hamilton,Ferrari,12,4,12,Finished,2025,7
Albon,Williams,7,5,10,Finished,2025,7
Leclerc,Ferrari,11,6,8,Finished,2025,7
Russell,Mercedes,3,7,6,Finished,2025,7
Sainz,Williams,6,8,4,Finished,2025,7
Hadjar,RB F1 Team,9,9,2,Finished,2025,7
Tsunoda,Red Bull,20,10,1,Finished,2025,7
Alonso,Aston Martin,5,11,0,Finished,2025,7
Hülkenberg,Sauber,17,12,0,Finished,2025,7
Gasly,Alpine F1 Team,10,13,0,Finished,2025,7
Lawson,RB F1 Team,15,14,0,Finished,2025,7
Stroll,Aston Martin,8,15,0,Finished,2025,7
Colapinto,Alpine F1 Team,16,16,0,Finished,2025,7
Bearman,Haas F1 Team,19,17,0,Finished,2025,7
Bortoleto,Sauber,14,18,0,Finished,2025,7
Antonelli,Mercedes,13,19,0,Retired,2025,7
Ocon,Haas F1 Team,18,20,0,Retired,2025,7
Norris,McLaren,1,1,25,Finished,2025,8
Leclerc,Ferrari,2,2,18,Finished,2025,8
Piastri,McLaren,3,3,15,Finished,2025,8
Verstappen,Red Bull,4,4,12,Finished,2025,8
Hamilton,Ferrari,7,5,10,Finished,2025,8
Hadjar,RB F1 Team,5,6,8,Lapped,2025,8
Ocon,Haas F1 Team,8,7,6,Lapped,2025,8
Lawson,RB F1 Team,9,8,4,Lapped,2025,8
Albon,Williams,10,9,2,Lapped,2025,8
Sainz,Williams,11,10,1,Lapped,2025,8
Russell,Mercedes,14,11,0,Lapped,2025,8
Bearman,Haas F1 Team,20,12,0,Lapped,2025,8
Colapinto,Alpine F1 Team,18,13,0,Lapped,2025,8
Bortoleto,Sauber,16,14,0,Lapped,2025,8
Stroll,Aston Martin,19,15,0,Lapped,2025,8
Hülkenberg,Sauber,13,16,0,Lapped,2025,8
Tsunoda,Red Bull,12,17,0,Lapped,2025,8
Antonelli,Mercedes,15,18,0,Lapped,2025,8
Alonso,Aston Martin,6,19,0,Retired,2025,8
Gasly,Alpine F1 Team,17,20,0,Retired,2025,8
Piastri,McLaren,1,1,25,Finished,2025,9
Norris,McLaren,2,2,18,Finished,2025,9
Leclerc,Ferrari,7,3,15,Finished,2025,9
Russell,Mercedes,4,4,12,Finished,2025,9
Hülkenberg,Sauber,15,5,10,Finished,2025,9
Hamilton,Ferrari,5,6,8,Finished,2025,9
Hadjar,RB F1 Team,9,7,6,Finished,2025,9
Gasly,Alpine F1 Team,8,8,4,Finished,2025,9
Alonso,Aston Martin,10,9,2,Finished,2025,9
Verstappen,Red Bull,3,10,1,Finished,2025,9
Lawson,RB F1 Team,13,11,0,Finished,2025,9
Bortoleto,Sauber,12,12,0,Finished,2025,9
Tsunoda,Red Bull,19,13,0,Finished,2025,9
Sainz,Williams,17,14,0,Finished,2025,9
Colapinto,Alpine F1 Team,18,15,0,Finished,2025,9
Ocon,Haas F1 Team,16,16,0,Finished,2025,9
Bearman,Haas F1 Team,14,17,0,Finished,2025,9
Antonelli,Mercedes,6,18,0,Retired,2025,9
Albon,Williams,11,19,0,Retired,2025,9
Russell,Mercedes,1,1,25,Finished,2025,10
Verstappen,Red Bull,2,2,18,Finished,2025,10
Antonelli,Mercedes,4,3,15,Finished,2025,10
Piastri,McLaren,3,4,12,Finished,2025,10
Leclerc,Ferrari,8,5,10,Finished,2025,10
Hamilton,Ferrari,5,6,8,Finished,2025,10
Alonso,Aston Martin,6,7,6,Finished,2025,10
Hülkenberg,Sauber,11,8,4,Finished,2025,10
Ocon,Haas F1 Team,14,9,2,Lapped,2025,10
Sainz,Williams,16,10,1,Lapped,2025,10
Bearman,Haas F1 Team,13,11,0,Lapped,2025,10
Tsunoda,Red Bull,18,12,0,Lapped,2025,10
Colapinto,Alpine F1 Team,10,13,0,Lapped,2025,10
Bortoleto,Sauber,15,14,0,Lapped,2025,10
Gasly,Alpine F1 Team,20,15,0,Lapped,2025,10
Hadjar,RB F1 Team,12,16,0,Lapped,2025,10
Stroll,Aston Martin,17,17,0,Lapped,2025,10
Norris,McLaren,7,18,0,Retired,2025,10
Lawson,RB F1 Team,19,19,0,Retired,2025,10
Albon,Williams,9,20,0,Retired,2025,10
Norris,McLaren,1,1,25,Finished,2025,11
Piastri,McLaren,3,2,18,Finished,2025,11
Leclerc,Ferrari,2,3,15,Finished,2025,11
Hamilton,Ferrari,4,4,12,Finished,2025,11
Russell,Mercedes,5,5,10,Finished,2025,11
Lawson,RB F1 Team,6,6,8,Finished,2025,11
Alonso,Aston Martin,11,7,6,Lapped,2025,11
Bortoleto,Sauber,8,8,4,Lapped,2025,11
Hülkenberg,Sauber,20,9,2,Lapped,2025,11
Ocon,Haas F1 Team,17,10,1,Lapped,2025,11
Bearman,Haas F1 Team,15,11,0,Lapped,2025,11
Hadjar,RB F1 Team,13,12,0,Lapped,2025,11
Gasly,Alpine F1 Team,10,13,0,Lapped,2025,11
Stroll,Aston Martin,16,14,0,Lapped,2025,11
Colapinto,Alpine F1 Team,14,15,0,Lapped,2025,11
Tsunoda,Red Bull,18,16,0,Lapped,2025,11
Albon,Williams,12,17,0,Retired,2025,11
Verstappen,Red Bull,7,18,0,Retired,2025,11
Antonelli,Mercedes,9,19,0,Retired,2025,11
Sainz,Williams,19,20,0,Did not start,2025,11
Norris,McLaren,3,1,25,Finished,2025,12
Piastri,McLaren,2,2,18,Finished,2025,12
Hülkenberg,Sauber,19,3,15,Finished,2025,12
Hamilton,Ferrari,5,4,12,Finished,2025,12
Verstappen,Red Bull,1,5,10,Finished,2025,12
Gasly,Alpine F1 Team,8,6,8,Finished,2025,12
Stroll,Aston Martin,17,7,6,Finished,2025,12
Albon,Williams,13,8,4,Finished,2025,12
Alonso,Aston Martin,7,9,2,Finished,2025,12
Russell,Mercedes,4,10,1,Finished,2025,12
Bearman,Haas F1 Team,18,11,0,Finished,2025,12
Sainz,Williams,9,12,0,Finished,2025,12
Ocon,Haas F1 Team,14,13,0,Finished,2025,12
Leclerc,Ferrari,6,14,0,Finished,2025,12
Tsunoda,Red Bull,11,15,0,Lapped,2025,12
Antonelli,Mercedes,10,16,0,Retired,2025,12
Hadjar,RB F1 Team,12,17,0,Retired,2025,12
Bortoleto,Sauber,16,18,0,Retired,2025,12
Lawson,RB F1 Team,15,19,0,Retired,2025,12
Colapinto,Alpine F1 Team,20,20,0,Did not start,2025,12
Piastri,McLaren,2,1,25,Finished,2025,13
Norris,McLaren,1,2,18,Finished,2025,13
Leclerc,Ferrari,3,3,15,Finished,2025,13
Verstappen,Red Bull,4,4,12,Finished,2025,13
Russell,Mercedes,6,5,10,Finished,2025,13
Albon,Williams,5,6,8,Finished,2025,13
Hamilton,Ferrari,18,7,6,Finished,2025,13
Lawson,RB F1 Team,9,8,4,Finished,2025,13
Bortoleto,Sauber,10,9,2,Finished,2025,13
Gasly,Alpine F1 Team,13,10,1,Finished,2025,13
Bearman,Haas F1 Team,12,11,0,Finished,2025,13
Hülkenberg,Sauber,14,12,0,Finished,2025,13
Tsunoda,Red Bull,7,13,0,Finished,2025,13
Stroll,Aston Martin,16,14,0,Finished,2025,13
Ocon,Haas F1 Team,11,15,0,Finished,2025,13
Antonelli,Mercedes,19,16,0,Finished,2025,13
Alonso,Aston Martin,20,17,0,Finished,2025,13
Sainz,Williams,17,18,0,Finished,2025,13
Colapinto,Alpine F1 Team,15,19,0,Finished,2025,13
Hadjar,RB F1 Team,8,20,0,Lapped,2025,13
Norris,McLaren,3,1,25,Finished,2025,14
Piastri,McLaren,2,2,18,Finished,2025,14
Russell,Mercedes,4,3,15,Finished,2025,14
Leclerc,Ferrari,1,4,12,Finished,2025,14
Alonso,Aston Martin,5,5,10,Finished,2025,14
Bortoleto,Sauber,7,6,8,Finished,2025,14
Stroll,Aston Martin,6,7,6,Finished,2025,14
Lawson,RB F1 Team,9,8,4,Finished,2025,14
Verstappen,Red Bull,8,9,2,Finished,2025,14
Antonelli,Mercedes,15,10,1,Lapped,2025,14
Hadjar,RB F1 Team,10,11,0,Lapped,2025,14
Hamilton,Ferrari,12,12,0,Lapped,2025,14
Hülkenberg,Sauber,18,13,0,Lapped,2025,14
Sainz,Williams,13,14,0,Lapped,2025,14
Albon,Williams,19,15,0,Lapped,2025,14
Ocon,Haas F1 Team,17,16,0,Lapped,2025,14
Tsunoda,Red Bull,20,17,0,Lapped,2025,14
Colapinto,Alpine F1 Team,14,18,0,Lapped,2025,14
Gasly,Alpine F1 Team,16,19,0,Lapped,2025,14
Bearman,Haas F1 Team,11,20,0,Retired,2025,14
Piastri,McLaren,1,1,25,Finished,2025,15
Verstappen,Red Bull,3,2,18,Finished,2025,15
Hadjar,RB F1 Team,4,3,15,Finished,2025,15
Russell,Mercedes,5,4,12,Finished,2025,15
Albon,Williams,15,5,10,Finished,2025,15
Bearman,Haas F1 Team,20,6,8,Finished,2025,15
Stroll,Aston Martin,19,7,6,Finished,2025,15
Alonso,Aston Martin,10,8,4,Finished,2025,15
Tsunoda,Red Bull,12,9,2,Finished,2025,15
Ocon,Haas F1 Team,18,10,1,Finished,2025,15
Colapinto,Alpine F1 Team,16,11,0,Finished,2025,15
Lawson,RB F1 Team,8,12,0,Finished,2025,15
Sainz,Williams,9,13,0,Finished,2025,15
Hülkenberg,Sauber,17,14,0,Finished,2025,15
Bortoleto,Sauber,13,15,0,Finished,2025,15
Antonelli,Mercedes,11,16,0,Finished,2025,15
Gasly,Alpine F1 Team,14,17,0,Finished,2025,15
Norris,McLaren,2,18,0,Retired,2025,15
Leclerc,Ferrari,6,19,0,Retired,2025,15
Hamilton,Ferrari,7,20,0,Retired,2025,15
Verstappen,Red Bull,1,1,25,Finished,2025,16
Norris,McLaren,2,2,18,Finished,2025,16
Piastri,McLaren,3,3,15,Finished,2025,16
Leclerc,Ferrari,4,4,12,Finished,2025,16
Russell,Mercedes,5,5,10,Finished,2025,16
Hamilton,Ferrari,10,6,8,Finished,2025,16
Albon,Williams,14,7,6,Finished,2025,16
Bortoleto,Sauber,7,8,4,Finished,2025,16
Antonelli,Mercedes,6,9,2,Finished,2025,16
Hadjar,RB F1 Team,19,10,1,Finished,2025,16
Sainz,Williams,13,11,0,Finished,2025,16
Bearman,Haas F1 Team,11,12,0,Finished,2025,16
Tsunoda,Red Bull,9,13,0,Finished,2025,16
Lawson,RB F1 Team,18,14,0,Finished,2025,16
Ocon,Haas F1 Team,15,15,0,Lapped,2025,16
Gasly,Alpine F1 Team,20,16,0,Lapped,2025,16
Colapinto,Alpine F1 Team,17,17,0,Lapped,2025,16
Stroll,Aston Martin,16,18,0,Lapped,2025,16
Alonso,Aston Martin,8,19,0,Retired,2025,16
Hülkenberg,Sauber,12,20,0,Did not start,2025,16
Verstappen,Red Bull,1,1,25,Finished,2025,17
Russell,Mercedes,5,2,18,Finished,2025,17
Sainz,Williams,2,3,15,Finished,2025,17
Antonelli,Mercedes,4,4,12,Finished,2025,17
Lawson,RB F1 Team,3,5,10,Finished,2025,17
Tsunoda,Red Bull,6,6,8,Finished,2025,17
Norris,McLaren,7,7,6,Finished,2025,17
